Model units:
Name: Necron Warriors, Army Type: Necrons
Name: Necron Warriors, Army Type: Necrons
Enemy units:
Name: Necron Warriors, Army Type: Necrons
Name: Necron Warriors, Army Type: Necrons
Number of Lifetimes ran: 1500

Iteration 0 ended with reward 0.005044371722444238, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.0006720657539045642, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.00528361872887313, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.023120745422100197, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward -0.12, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.07033333333333333, enemy health [9.0, 9.0], model health [5.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.0117810315971887, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward -0.003333333333333334, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.029572762180230437, enemy health [9.0, 10.0], model health [9.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.13033333333333336, enemy health [7.0, 10.0], model health [6.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.014217013906529689, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.2803333333333333, enemy health [2.0, 9.0], model health [6.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.007447601846377872, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward 0.015117404740803676, enemy health [10.0, 10.0], model health [10.0, 0.0], model VP 0, enemy VP 0, mission Only War
Iteration 3616 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward 0.008499180782499494, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward 0.00908347222484472, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward 0.0018287506143097156, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward 0.01426606172561306, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.21316666666666667, enemy health [10.0, 9.0], model health [2.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward 0.011108499665469652, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.029666666666666668, enemy health [8.0, 10.0], model health [5.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward 0.013789363402342283, enemy health [9.0, 9.0], model health [0.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward 0.25033333333333335, enemy health [4.0, 9.0], model health [6.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.14400000000000002, enemy health [9.0, 10.0], model health [8.0, 0.0], model VP 0, enemy VP 0, mission Only War
Iteration 3632 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward 0.027700110523753898, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward 0.005798393871624145, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.06025761273974253, enemy health [10.0, 10.0], model health [9.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward 0.060333333333333336, enemy health [9.0, 10.0], model health [2.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward 0.043833333333333335, enemy health [8.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward 0.008329390427284268, enemy health [9.0, 10.0], model health [0.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.02, enemy health [10.0, 10.0], model health [0.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward 0.32533333333333336, enemy health [3.0, 8.0], model health [5.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward 0.016913662957740615, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.23966666666666667, enemy health [8.0, 10.0], model health [8.0, 0.0], model VP 0, enemy VP 0, mission Only War
Iteration 3648 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3664 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
enemy won!
Iteration 3664 ended with reward 0.08349999999999999, enemy health [10.0, 8.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward -0.1135388390807329, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
enemy won!
Iteration 3664 ended with reward 0.07033333333333333, enemy health [9.0, 9.0], model health [9.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.01972700447661371, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.03218158262649989, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.0079200907260712, enemy health [10.0, 10.0], model health [4.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.016375564856536597, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.08787477645452334, enemy health [8.0, 8.0], model health [10.0, 9.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.01938487068805026, enemy health [10.0, 10.0], model health [0.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.02724362258753554, enemy health [10.0, 10.0], model health [0.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward -0.021439927701211066, enemy health [10.0, 10.0], model health [9.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
enemy won!
Iteration 3664 ended with reward 0.7103333333333333, enemy health [0.0, 7.0], model health [6.0, 9.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.015117404740803676, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward 0.061849246082047504, enemy health [8.0, 8.0], model health [8.0, 0.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
model won!
Iteration 3664 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
draw!
Major Victory
enemy won!
Iteration 3680 ended with reward 0.03318182988906327, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward -0.06, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward 0.0022657592642767455, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward -0.033478476139980576, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward 0.01987059893259747, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward 0.008976806643523776, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward 0.012302088563498438, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward 0.021339459982731738, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward 0.00664099581255823, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3680 ended with reward 0.04473615334264534, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward 0.0009676882611584503, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward 0.004617948941911336, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward 0.0009002854021334273, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward 0.044206271089603594, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward 0.02455506208844689, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.030204631547549415, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward 0.014574464843502, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.0039753984302305576, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward 0.029765043392693126, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3696 ended with reward -0.06, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward 0.02734618223398364, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward 0.026790910746654586, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward 0.05432333551088551, enemy health [10.0, 9.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward 0.022188506760569975, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward 0.0031260671524587858, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3712 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward 0.025030257421667618, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.09, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward 0.017090246864308278, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward 0.016447762487800423, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [8.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward 0.009880900061481117, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3728 ended with reward 0.0165909295731162, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward 0.039079556932698226, enemy health [9.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.03900000000000001, enemy health [10.0, 10.0], model health [10.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward 0.019727330354201766, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.4312476469207507, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward 0.00618189200578995, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward 0.0012896622852208496, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward 0.11350000000000002, enemy health [7.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.12, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.21218389312654973, enemy health [10.0, 10.0], model health [10.0, 8.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward 0.006479899580627802, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3744 ended with reward 0.011140697778077158, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward -0.12, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.15133333333333332, enemy health [6.0, 10.0], model health [9.0, 8.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward -0.2465, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.10033333333333333, enemy health [10.0, 7.0], model health [9.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.13233333333333333, enemy health [6.0, 10.0], model health [9.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.051166666666666666, enemy health [10.0, 9.0], model health [10.0, 7.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.14033333333333334, enemy health [6.0, 10.0], model health [8.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.028660905478073703, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.0016563668471324773, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.01081269661470996, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.14683333333333334, enemy health [10.0, 6.0], model health [10.0, 7.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward 0.01288376423677177, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward -0.02, enemy health [9.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3760 ended with reward -0.12, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward 0.021293612459211474, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward 0.305614364930522, enemy health [2.0, 10.0], model health [9.0, 8.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.02, enemy health [9.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.027273079447145618, enemy health [9.0, 7.0], model health [8.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward 0.10233333333333333, enemy health [5.0, 10.0], model health [9.0, 7.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.029833333333333337, enemy health [10.0, 10.0], model health [10.0, 4.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.12, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward 0.2003333333333333, enemy health [5.0, 10.0], model health [7.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.12, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward 0.03750674748533969, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.02233333333333334, enemy health [10.0, 7.0], model health [10.0, 0.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward 0.0023164678398564695, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3776 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward 0.7135, enemy health [0.0, 10.0], model health [7.0, 8.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward -0.12, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward 0.6535426002847812, enemy health [6.0, 9.0], model health [3.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward 0.060333333333333336, enemy health [4.0, 10.0], model health [7.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward 0.07742438350772086, enemy health [10.0, 9.0], model health [10.0, 3.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward 0.00234245645947991, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward 0.07016666666666667, enemy health [7.0, 10.0], model health [8.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward -0.02, enemy health [10.0, 9.0], model health [10.0, 0.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward 0.004515912748714168, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward -0.02, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3792 ended with reward 0.02536992325565531, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.008893587219521049, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.10016666666666667, enemy health [0.0, 8.0], model health [8.0, 9.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward -0.22983333333333333, enemy health [8.0, 10.0], model health [10.0, 8.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.05516666666666667, enemy health [6.0, 10.0], model health [5.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.20033333333333336, enemy health [3.0, 10.0], model health [8.0, 7.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.07016666666666667, enemy health [10.0, 8.0], model health [10.0, 2.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.012079556932698222, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.006848547434547984, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.11905532776737628, enemy health [8.0, 10.0], model health [7.0, 10.0], model VP 0, enemy VP 0, mission Only War
Iteration 3808 ended with reward 0.0064618585115436685, enemy health [10.0, 10.0], model health [10.0, 10.0], model VP 0, enemy VP 0, mission Only War
